disputeId,type,tier,expectedWinner,actualWinner,correct,tier2Winner,tier2Correct,openGas,resolveGas,enforceGas,totalGas,configuredWindowMinutes,arbitratorCount,expertCount,appealed
782,2,3,1,1,Yes,2,No,301111,2165095,33247,2499453,5760,3,5,Yes
783,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
784,4,1,2,2,Yes,,,301111,60336,32949,394396,0,0,0,No
785,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
786,3,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
787,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
788,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
789,1,1,1,1,Yes,,,301111,60492,32949,394552,0,0,0,No
790,1,1,2,2,Yes,,,301111,58123,32949,392183,0,0,0,No
791,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
792,2,3,2,2,Yes,1,No,301111,2165151,33247,2499509,5760,3,5,Yes
793,2,3,2,2,Yes,2,Yes,301111,2165198,33247,2499556,5760,3,5,Yes
794,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
795,3,3,1,1,Yes,1,Yes,301111,2157869,33247,2492227,5760,3,5,Yes
796,3,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
797,2,2,2,2,Yes,2,Yes,301111,818025,33098,1152234,2880,3,0,No
798,4,1,1,1,Yes,,,301111,57967,32949,392027,0,0,0,No
799,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
800,3,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
801,4,1,1,1,Yes,,,301111,57967,32949,392027,0,0,0,No
802,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
803,2,2,1,2,No,2,No,301111,811228,33098,1145437,2880,3,0,No
804,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
805,4,1,1,1,Yes,,,301111,57967,32949,392027,0,0,0,No
806,1,1,2,2,Yes,,,301111,58123,32949,392183,0,0,0,No
807,2,3,1,1,Yes,1,Yes,301111,2165048,33247,2499406,5760,3,5,Yes
808,2,2,1,2,No,2,No,301111,811228,33098,1145437,2880,3,0,No
809,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
810,2,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
811,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
812,2,2,2,1,No,1,No,301111,811181,33098,1145390,2880,3,0,No
813,2,3,1,1,Yes,1,Yes,301111,2151100,33247,2485458,5760,3,5,Yes
814,2,3,2,2,Yes,2,Yes,301111,2171995,33247,2506353,5760,3,5,Yes
815,1,1,2,2,Yes,,,301111,58123,32949,392183,0,0,0,No
816,3,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
817,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
818,4,1,1,1,Yes,,,301111,57967,32949,392027,0,0,0,No
819,2,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
820,2,3,1,1,Yes,1,Yes,301111,2165048,33247,2499406,5760,3,5,Yes
821,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
822,1,1,2,2,Yes,,,301111,58123,32949,392183,0,0,0,No
823,2,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
824,4,1,1,1,Yes,,,301111,57967,32949,392027,0,0,0,No
825,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
826,2,2,2,2,Yes,2,Yes,301111,818025,33098,1152234,2880,3,0,No
827,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
828,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
829,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
830,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
831,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
832,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
833,3,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
834,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
835,4,1,2,2,Yes,,,301111,60336,32949,394396,0,0,0,No
836,3,3,2,2,Yes,2,Yes,301111,2158196,33247,2492554,5760,3,5,Yes
837,2,2,1,2,No,2,No,301111,811228,33098,1145437,2880,3,0,No
838,1,1,1,1,Yes,,,301111,60492,32949,394552,0,0,0,No
839,0,1,1,1,Yes,,,281199,60326,32949,374474,0,0,0,No
840,1,1,2,2,Yes,,,301111,58123,32949,392183,0,0,0,No
841,2,2,2,1,No,1,No,301111,811181,33098,1145390,2880,3,0,No
842,3,2,2,2,Yes,2,Yes,301111,818025,33098,1152234,2880,3,0,No
843,1,1,2,2,Yes,,,301111,58123,32949,392183,0,0,0,No
844,2,2,2,2,Yes,2,Yes,301111,818025,33098,1152234,2880,3,0,No
845,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
846,2,2,1,1,Yes,1,Yes,301111,817950,33098,1152159,2880,3,0,No
847,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
848,3,3,1,1,Yes,1,Yes,301111,2171817,33247,2506175,5760,3,5,Yes
849,1,1,2,2,Yes,,,301111,58123,32949,392183,0,0,0,No
850,4,1,2,2,Yes,,,301111,60336,32949,394396,0,0,0,No
851,1,1,1,1,Yes,,,301111,60492,32949,394552,0,0,0,No
852,1,1,1,1,Yes,,,301111,60492,32949,394552,0,0,0,No
853,0,1,2,2,Yes,,,281199,57957,32949,372105,0,0,0,No
854,2,3,1,1,Yes,1,Yes,301111,2164843,33247,2499201,5760,3,5,Yes
