disputeId,type,tier,expectedWinner,actualWinner,correct,openGas,resolveGas,totalGas,resolutionTimeMinutes
79,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
80,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
81,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
82,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
83,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
84,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
85,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
86,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
87,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
88,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
89,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
90,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
91,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
92,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
93,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
94,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
95,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
96,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
97,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
98,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
99,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
100,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
101,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
102,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
103,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
104,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
105,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
106,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
107,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
108,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
109,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
110,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
111,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
112,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
113,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
114,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
115,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
116,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
117,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
118,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
119,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
120,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
121,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
122,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
123,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
124,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
125,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
126,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
127,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
128,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
129,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
130,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
131,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
132,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
133,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
134,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
135,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
136,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
137,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
138,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
139,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
140,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
141,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
142,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
143,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
144,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
145,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
146,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
147,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
148,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
149,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
150,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
151,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
152,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
153,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
154,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
155,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
156,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
157,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
158,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
159,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
160,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
161,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
162,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
163,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
164,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
165,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
166,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
167,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
168,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
169,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
170,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
171,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
172,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
173,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
174,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
175,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
176,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
177,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
178,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
179,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
180,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
181,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
182,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
183,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
184,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
185,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
186,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
187,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
188,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
189,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
190,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
191,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
192,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
193,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
194,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
195,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
196,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
197,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
198,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
199,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
200,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
201,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
202,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
203,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
204,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
205,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
